used time:24.069394930203757,step:297,loss:14.60865306854248,mse_loss:1.4185307025909424
used time:24.23287915388743,step:298,loss:19.732881546020508,mse_loss:1.3063108921051025
used time:24.398973246415455,step:299,loss:23.59781265258789,mse_loss:1.382390022277832
used time:24.55935981273651,step:300,loss:12.06291389465332,mse_loss:1.4412215948104858
used time:24.717230955759685,step:301,loss:23.531280517578125,mse_loss:1.4933470487594604
used time:24.87672485113144,step:302,loss:19.451828002929688,mse_loss:1.2885842323303223
used time:25.039536237716675,step:303,loss:14.406658172607422,mse_loss:1.4333281517028809
used time:25.215354438622793,step:304,loss:22.250612258911133,mse_loss:1.3689428567886353
used time:25.391541278362276,step:305,loss:20.11171531677246,mse_loss:1.4180381298065186
used time:25.555921836694083,step:306,loss:13.062265396118164,mse_loss:1.5332989692687988
used time:25.717000635464988,step:307,loss:11.43787670135498,mse_loss:1.511691927909851
used time:25.888170766830445,step:308,loss:18.346221923828125,mse_loss:1.3353806734085083
used time:26.050858132044475,step:309,loss:18.411375045776367,mse_loss:1.4108480215072632
used time:26.32875272432963,step:310,loss:13.643686294555664,mse_loss:1.5490061044692993
used time:26.501821982860566,step:311,loss:22.12335205078125,mse_loss:1.4268248081207275
used time:26.678025102615358,step:312,loss:22.063283920288086,mse_loss:1.3954219818115234
used time:26.85040684143702,step:313,loss:13.252642631530762,mse_loss:1.4316552877426147
used time:27.01851660410563,step:314,loss:11.312397956848145,mse_loss:1.4320555925369263
used time:27.207728079954784,step:315,loss:18.01302146911621,mse_loss:1.332579255104065
used time:27.38061074813207,step:316,loss:11.789783477783203,mse_loss:1.2924399375915527
used time:27.541322565078737,step:317,loss:15.113924980163574,mse_loss:1.389845609664917
used time:27.712084873517355,step:318,loss:21.930843353271484,mse_loss:1.4702786207199097
used time:27.883920447031656,step:319,loss:17.72859001159668,mse_loss:1.4222502708435059
used time:28.045251548290253,step:320,loss:13.616029739379883,mse_loss:1.5014935731887817
used time:28.209760812918343,step:321,loss:14.871903419494629,mse_loss:1.4899358749389648
used time:28.378697137037914,step:322,loss:16.275951385498047,mse_loss:1.559434413909912
used time:28.547851129372916,step:323,loss:8.659404754638672,mse_loss:1.246876835823059
used time:28.710400195916495,step:324,loss:9.904032707214355,mse_loss:1.445857286453247
used time:28.87130398750305,step:325,loss:10.43025016784668,mse_loss:1.7257403135299683
used time:29.035105470816294,step:326,loss:18.990020751953125,mse_loss:1.3222607374191284
used time:29.197017002105714,step:327,loss:8.84094524383545,mse_loss:1.5561641454696655
used time:29.35625420411428,step:328,loss:25.94706916809082,mse_loss:1.5312902927398682
used time:29.507527140776315,step:329,loss:18.95149803161621,mse_loss:1.4531482458114624
used time:29.683870458602904,step:330,loss:12.579044342041016,mse_loss:1.6570830345153809
used time:29.86358600060145,step:331,loss:20.668359756469727,mse_loss:1.3385220766067505
used time:30.02918322086334,step:332,loss:17.712173461914062,mse_loss:1.45704984664917
used time:30.18693270285924,step:333,loss:16.797826766967773,mse_loss:1.4522613286972046
used time:30.627408174673715,step:335,loss:13.269913673400879,mse_loss:1.570701003074646
used time:30.814196157455445,step:336,loss:18.598445892333984,mse_loss:1.4069955348968506
used time:31.002002223332724,step:337,loss:11.893956184387207,mse_loss:1.4321993589401245
used time:31.191360664367675,step:338,loss:21.81863021850586,mse_loss:1.569565773010254
used time:31.378498518466948,step:339,loss:14.771235466003418,mse_loss:1.5121657848358154
used time:31.554468067487083,step:340,loss:12.426798820495605,mse_loss:1.43271005153656
used time:31.71911531686783,step:341,loss:22.41808319091797,mse_loss:1.35344398021698
used time:31.899241252740225,step:342,loss:14.835575103759766,mse_loss:1.42460036277771
used time:32.08151932557424,step:343,loss:19.32027244567871,mse_loss:1.4207557439804077
used time:32.246317966779074,step:344,loss:15.780012130737305,mse_loss:1.5364528894424438
used time:32.41682453155518,step:345,loss:16.16468620300293,mse_loss:1.507246494293213
used time:32.585905408859254,step:346,loss:20.01909828186035,mse_loss:1.4886492490768433
used time:32.75322853326797,step:347,loss:17.141178131103516,mse_loss:1.4042418003082275
used time:32.91053411563237,step:348,loss:15.047222137451172,mse_loss:1.3977513313293457
used time:33.073629407087964,step:349,loss:23.312034606933594,mse_loss:1.4163440465927124
used time:33.24486461877823,step:350,loss:21.381038665771484,mse_loss:1.600402593612671
used time:33.41121860742569,step:351,loss:23.421266555786133,mse_loss:1.4678940773010254
used time:33.858798666795096,step:353,loss:12.45578384399414,mse_loss:1.507669448852539
used time:34.052543155352275,step:354,loss:15.279657363891602,mse_loss:1.5756577253341675
used time:34.22728623946508,step:355,loss:20.106733322143555,mse_loss:1.5157169103622437
used time:34.39743585586548,step:356,loss:11.216009140014648,mse_loss:1.3209189176559448
used time:34.560792124271394,step:357,loss:11.818554878234863,mse_loss:1.5472795963287354
used time:34.71912054220835,step:358,loss:19.734712600708008,mse_loss:1.4034366607666016
used time:34.89328412214915,step:359,loss:19.129825592041016,mse_loss:1.2476692199707031
used time:35.046585365136465,step:360,loss:7.9675750732421875,mse_loss:1.56044340133667
used time:35.21324588855108,step:361,loss:23.653762817382812,mse_loss:1.3794857263565063
used time:35.37665536403656,step:362,loss:17.10547637939453,mse_loss:1.4705429077148438
used time:35.53574322859446,step:363,loss:10.892133712768555,mse_loss:1.4815449714660645
used time:35.71114358901978,step:364,loss:21.627946853637695,mse_loss:1.4099178314208984
used time:35.88360059261322,step:365,loss:13.724183082580566,mse_loss:1.3885602951049805
used time:36.042003790537514,step:366,loss:19.394418716430664,mse_loss:1.4718959331512451
used time:36.211894953250884,step:367,loss:16.81647300720215,mse_loss:1.478310227394104
used time:36.36704669396082,step:368,loss:11.99111270904541,mse_loss:1.465572476387024
used time:36.54321612517039,step:369,loss:13.010573387145996,mse_loss:1.404897928237915
used time:36.71381553808848,step:370,loss:18.802692413330078,mse_loss:1.596805214881897
used time:36.885166907310484,step:371,loss:13.821632385253906,mse_loss:1.522853136062622
used time:37.04188461303711,step:372,loss:15.259648323059082,mse_loss:1.453484296798706
used time:37.213047647476195,step:373,loss:15.704681396484375,mse_loss:1.457996129989624
used time:37.39136910835902,step:374,loss:18.475244522094727,mse_loss:1.4204341173171997
used time:37.5656288544337,step:375,loss:14.17624568939209,mse_loss:1.3938957452774048
used time:37.738471774260205,step:376,loss:17.895761489868164,mse_loss:1.545285940170288
used time:37.895455384254454,step:377,loss:15.450319290161133,mse_loss:1.4552059173583984
used time:38.0874739686648,step:378,loss:13.75497055053711,mse_loss:1.5922493934631348
used time:38.265406183401744,step:379,loss:20.358781814575195,mse_loss:1.41176438331604
used time:38.44560881058375,step:380,loss:16.649396896362305,mse_loss:1.5404576063156128
used time:38.613352394104005,step:381,loss:15.8609037399292,mse_loss:1.5242910385131836
used time:38.800870803991955,step:382,loss:17.10366439819336,mse_loss:1.492323398590088
used time:38.9694820523262,step:383,loss:15.757715225219727,mse_loss:1.3811745643615723
used time:39.13212117751439,step:384,loss:12.25847053527832,mse_loss:1.4226552248001099
used time:39.285983522733055,step:385,loss:19.70683479309082,mse_loss:1.461472749710083
used time:39.447821871439615,step:386,loss:12.562716484069824,mse_loss:1.3378852605819702
used time:39.62113547325134,step:387,loss:30.566043853759766,mse_loss:1.4696118831634521
used time:39.79768621921539,step:388,loss:10.206465721130371,mse_loss:1.5003904104232788
used time:40.24794116417567,step:390,loss:7.768582820892334,mse_loss:1.4962992668151855
used time:40.43505487839381,step:391,loss:14.359138488769531,mse_loss:1.4937156438827515
used time:40.615264622370404,step:392,loss:16.866897583007812,mse_loss:1.4685531854629517
used time:40.78527361551921,step:393,loss:13.678496360778809,mse_loss:1.385890007019043
used time:40.94460018078486,step:394,loss:24.402740478515625,mse_loss:1.5452109575271606
used time:41.13056590557098,step:395,loss:18.615942001342773,mse_loss:1.3704265356063843
used time:41.29928241570791,step:396,loss:18.579910278320312,mse_loss:1.4776887893676758
used time:41.46106190284093,step:397,loss:22.305980682373047,mse_loss:1.4344372749328613
used time:41.65654190778732,step:398,loss:17.25583267211914,mse_loss:1.5438330173492432
used time:41.832526338100436,step:399,loss:21.748069763183594,mse_loss:1.6025387048721313
used time:41.99374147256216,step:400,loss:16.184038162231445,mse_loss:1.419438123703003
used time:42.15472801526388,step:401,loss:9.976774215698242,mse_loss:1.3497525453567505
used time:42.314089783032735,step:402,loss:13.569039344787598,mse_loss:1.5661157369613647
used time:42.476811389128365,step:403,loss:17.524499893188477,mse_loss:1.4902795553207397
used time:42.643997359275815,step:404,loss:8.026432037353516,mse_loss:1.603153109550476
used time:42.814873814582825,step:405,loss:13.092026710510254,mse_loss:1.326561689376831
used time:42.97230349779129,step:406,loss:13.267477989196777,mse_loss:1.5693567991256714
used time:43.13479566971461,step:407,loss:17.465335845947266,mse_loss:1.5015647411346436
used time:43.30622764825821,step:408,loss:10.027724266052246,mse_loss:1.4006050825119019
used time:43.74011868635814,step:410,loss:9.578530311584473,mse_loss:1.647796869277954
used time:43.91141583919525,step:411,loss:11.256058692932129,mse_loss:1.5127631425857544
used time:44.090533435344696,step:412,loss:21.006074905395508,mse_loss:1.292571783065796
used time:44.272710518042246,step:413,loss:12.947402000427246,mse_loss:1.4856542348861694
used time:44.456529422601065,step:414,loss:11.88713550567627,mse_loss:1.3308628797531128
used time:44.619560825824735,step:415,loss:7.029834270477295,mse_loss:1.6481776237487793
used time:44.77962123552958,step:416,loss:7.904372215270996,mse_loss:1.5361994504928589
used time:44.95602953831355,step:417,loss:16.432758331298828,mse_loss:1.5045671463012695
used time:45.14476960102717,step:418,loss:15.556726455688477,mse_loss:1.4434473514556885
used time:45.336769815286,step:419,loss:8.653189659118652,mse_loss:1.4407211542129517
used time:45.514133632183075,step:420,loss:22.95524787902832,mse_loss:1.4670090675354004
used time:45.67548193136851,step:421,loss:10.720802307128906,mse_loss:1.4537460803985596
used time:45.841252203782396,step:422,loss:13.211857795715332,mse_loss:1.498844861984253
used time:46.28846359650294,step:424,loss:16.233530044555664,mse_loss:1.4682610034942627
used time:46.471778770287834,step:425,loss:11.119345664978027,mse_loss:1.6027966737747192
used time:46.64573289950689,step:426,loss:6.889952659606934,mse_loss:1.4988420009613037
used time:46.833145848910014,step:427,loss:16.52587890625,mse_loss:1.5679327249526978
used time:47.00756794214249,step:428,loss:12.072364807128906,mse_loss:1.5556674003601074
used time:47.17039895057678,step:429,loss:19.236106872558594,mse_loss:1.3237371444702148
used time:47.33511819044749,step:430,loss:15.544697761535645,mse_loss:1.2927320003509521
used time:47.53375139633815,step:431,loss:10.659566879272461,mse_loss:1.5429799556732178
used time:47.702041709423064,step:432,loss:20.13139533996582,mse_loss:1.3856693506240845
used time:47.89082287947337,step:433,loss:21.366191864013672,mse_loss:1.2995028495788574
used time:48.06423647403717,step:434,loss:15.18568229675293,mse_loss:1.3998148441314697
used time:48.243305480480196,step:435,loss:19.765939712524414,mse_loss:1.6417028903961182
used time:48.430094754695894,step:436,loss:13.414373397827148,mse_loss:1.5500408411026
used time:48.59131398995717,step:437,loss:17.11309051513672,mse_loss:1.5337705612182617
used time:48.75315964221954,step:438,loss:12.191051483154297,mse_loss:1.4332739114761353
used time:48.91415841182073,step:439,loss:12.096813201904297,mse_loss:1.4044266939163208
used time:49.074835205078124,step:440,loss:17.356569290161133,mse_loss:1.379165768623352
used time:49.52776470184326,step:442,loss:17.091533660888672,mse_loss:1.3850085735321045
used time:49.697695875167845,step:443,loss:9.187494277954102,mse_loss:1.356590747833252
used time:49.88452986478806,step:444,loss:12.141179084777832,mse_loss:1.5525065660476685
used time:50.07582996288935,step:445,loss:14.613250732421875,mse_loss:1.472536563873291
used time:50.24497980276744,step:446,loss:14.575648307800293,mse_loss:1.482805848121643
used time:50.41544776360194,step:447,loss:11.157780647277832,mse_loss:1.740592122077942
used time:50.608165693283084,step:448,loss:11.275184631347656,mse_loss:1.4771884679794312
used time:50.77783360481262,step:449,loss:16.590105056762695,mse_loss:1.4079519510269165
used time:50.95627689361572,step:450,loss:10.235406875610352,mse_loss:1.461478590965271
used time:51.127133818467456,step:451,loss:15.990903854370117,mse_loss:1.3231115341186523
used time:51.28885471820831,step:452,loss:18.5366153717041,mse_loss:1.4432542324066162
used time:51.448173987865445,step:453,loss:12.348066329956055,mse_loss:1.5936437845230103
used time:51.6398093064626,step:454,loss:13.256101608276367,mse_loss:1.3391523361206055
used time:51.82475378910701,step:455,loss:17.58860969543457,mse_loss:1.5069632530212402
used time:52.252378129959105,step:457,loss:19.221437454223633,mse_loss:1.4070566892623901
used time:52.41715579827626,step:458,loss:21.730634689331055,mse_loss:1.4537068605422974
used time:52.5780535141627,step:459,loss:21.473915100097656,mse_loss:1.6647485494613647
used time:52.75439025163651,step:460,loss:14.655017852783203,mse_loss:1.410233974456787
used time:52.927142429351804,step:461,loss:14.901339530944824,mse_loss:1.4651495218276978
used time:53.08318670988083,step:462,loss:12.397354125976562,mse_loss:1.632169246673584
used time:53.237538293997446,step:463,loss:10.351672172546387,mse_loss:1.2565282583236694
used time:53.41615620454152,step:464,loss:19.596548080444336,mse_loss:1.6699472665786743
used time:53.59104154507319,step:465,loss:18.77808952331543,mse_loss:1.4277832508087158
used time:53.764338481426236,step:466,loss:20.3663387298584,mse_loss:1.340177297592163
used time:53.94871693054835,step:467,loss:13.028239250183105,mse_loss:1.4608964920043945
used time:54.117205377419786,step:468,loss:14.931684494018555,mse_loss:1.558813214302063
used time:54.304377949237825,step:469,loss:16.45863151550293,mse_loss:1.5223288536071777
used time:54.46779311895371,step:470,loss:14.673905372619629,mse_loss:1.3595439195632935
used time:54.655158682664236,step:471,loss:12.09942626953125,mse_loss:1.4027293920516968
used time:54.83170774380366,step:472,loss:15.334070205688477,mse_loss:1.4628394842147827
used time:54.9979488213857,step:473,loss:12.696502685546875,mse_loss:1.5845980644226074
used time:55.47764270702998,step:475,loss:23.62282371520996,mse_loss:1.2919703722000122
used time:55.643350116411845,step:476,loss:12.28299331665039,mse_loss:1.4944415092468262
used time:55.80774180094401,step:477,loss:17.959964752197266,mse_loss:1.313667893409729
used time:55.96561571359634,step:478,loss:18.219457626342773,mse_loss:1.50901198387146
used time:56.139191607634224,step:479,loss:9.960617065429688,mse_loss:1.5589476823806763
used time:56.327503677209215,step:480,loss:13.04813289642334,mse_loss:1.5152326822280884
used time:56.49671530723572,step:481,loss:10.892295837402344,mse_loss:1.3139756917953491
used time:56.65199416081111,step:482,loss:12.121993064880371,mse_loss:1.6207629442214966
used time:56.847993806997934,step:483,loss:12.267427444458008,mse_loss:1.4211997985839844
used time:57.04241767326991,step:484,loss:13.69764518737793,mse_loss:1.479066252708435
used time:57.23746119737625,step:485,loss:17.221128463745117,mse_loss:1.3965460062026978
used time:57.4161785364151,step:486,loss:15.229137420654297,mse_loss:1.5835100412368774
used time:57.863890087604524,step:488,loss:8.0849027633667,mse_loss:1.4169450998306274
used time:58.047405898571014,step:489,loss:14.6884765625,mse_loss:1.3699623346328735
used time:58.23351303339005,step:490,loss:13.464495658874512,mse_loss:1.5261141061782837
used time:58.39492750962575,step:491,loss:16.96564483642578,mse_loss:1.3506380319595337
used time:58.57187181313832,step:492,loss:17.20796012878418,mse_loss:1.4874440431594849
used time:58.74941575527191,step:493,loss:19.579734802246094,mse_loss:1.5427671670913696
used time:58.913952080408734,step:494,loss:13.079431533813477,mse_loss:1.6333308219909668
used time:59.095322012901306,step:495,loss:17.03280258178711,mse_loss:1.5272455215454102
used time:59.28532134691874,step:496,loss:13.94385051727295,mse_loss:1.459776759147644
used time:59.456810315450035,step:497,loss:16.86742401123047,mse_loss:1.415246844291687
used time:59.61252090533574,step:498,loss:9.917583465576172,mse_loss:1.5940319299697876
used time:59.769644749164584,step:499,loss:18.91254425048828,mse_loss:1.3272863626480103
used time:60.23017942905426,step:501,loss:13.062479019165039,mse_loss:1.6287760734558105
used time:60.3996369322141,step:502,loss:10.50979995727539,mse_loss:1.4610176086425781
used time:60.57997456789017,step:503,loss:20.572948455810547,mse_loss:1.4327813386917114
used time:60.76354012886683,step:504,loss:22.04548454284668,mse_loss:1.261323094367981
used time:60.933848559856415,step:505,loss:13.314345359802246,mse_loss:1.3947855234146118
used time:61.098695957660674,step:506,loss:18.815732955932617,mse_loss:1.3878973722457886
used time:61.2597784002622,step:507,loss:10.937518119812012,mse_loss:1.4762581586837769
used time:61.42516579230627,step:508,loss:15.79114055633545,mse_loss:1.3014519214630127
used time:61.58259321848551,step:509,loss:18.17165184020996,mse_loss:1.5140897035598755
used time:61.74517151117325,step:510,loss:16.08528709411621,mse_loss:1.6379363536834717
used time:61.90489003658295,step:511,loss:13.676802635192871,mse_loss:1.5797851085662842
used time:62.068880069255826,step:512,loss:17.376049041748047,mse_loss:1.4171526432037354
used time:62.23068991104762,step:513,loss:13.6084623336792,mse_loss:1.5541144609451294
used time:62.41843861738841,step:514,loss:15.89577579498291,mse_loss:1.5599682331085205
used time:62.58896437883377,step:515,loss:15.469122886657715,mse_loss:1.3777846097946167
